member_id,employer_ref,policy_number,enrolment_date,total_contribution_cumulative_eur,retirement_date,employee_contribution_monthly_eur,employer_contribution_monthly_eur,age,gender,opt_out_date,company_name,annual_salary_estimate_eur,loss
MEM0000020,EMP000004,8090293,24-03-2024,1026.61,11-04-2040,54.88,59.19,47,Male,,Nest Pension Ltd,30361,
MEM0000021,EMP000050,7022674,16-04-2024,3491.12,22-11-2048,216.98,219.41,36,Female,,Nest Pension Ltd,47187,
MEM0000022,EMP000028,2161193,21-03-2010,80125.9,01-03-2041,235.49,212.14,41,Female,,Nest Pension Ltd,55343,
MEM0000023,EMP000035,1533224,13-04-2018,19032.53,24-06-2031,115.78,119.19,63,Male,,Nest Pension Ltd,34462,
MEM0000024,EMP000003,4539704,07-03-2018,19667.02,11-06-2062,107.37,129.58,28,Female,,Nest Pension Ltd,58469,
MEM0000025,EMP000043,3608513,07-12-2017,29355.61,17-10-2029,162.11,179.23,62,Female,,Nest Pension Ltd,36376,
MEM0000026,EMP000016,2322047,21-12-2013,13459.51,05-04-2033,47.5,52.94,57,Female,,Nest Pension Ltd,12000,
MEM0000027,EMP000027,4841005,26-07-2015,24852.03,14-07-2039,115.72,102.28,46,Male,,Nest Pension Ltd,22872,
MEM0000028,EMP000003,3997281,28-12-2014,30393.7,15-06-2052,133.22,117.97,42,Male,,Nest Pension Ltd,27473,
MEM0000029,EMP000015,7210606,13-07-2010,55925.8,19-12-2045,171.47,146.29,46,Male,,Nest Pension Ltd,36456,
MEM0000030,EMP000005,7754864,05-04-2016,21352.12,12-03-2042,95.24,106.2,50,Female,,Nest Pension Ltd,49529,
MEM0000031,EMP000035,3396987,15-08-2010,23327.15,05-11-2046,66.79,66.51,41,Female,,Nest Pension Ltd,39441,
MEM0000032,EMP000017,1533224,07-06-2012,28662.84,04-03-2033,86.55,100.79,70,Female,,Nest Pension Ltd,38915,
MEM0000033,EMP000028,7693979,21-06-2021,9293.82,02-04-2062,115.13,106.15,30,Male,,Nest Pension Ltd,32580,
MEM0000034,EMP000003,3219824,13-10-2019,25381.18,06-04-2061,220.07,182.81,25,Male,,Nest Pension Ltd,41060,
MEM0000035,EMP000043,3396987,23-12-2023,753.45,20-05-2042,28.49,34.3,41,Male,,Nest Pension Ltd,12000,
MEM0000036,EMP000043,7402509,26-04-2017,21510.71,29-01-2037,105.27,126.03,52,Male,,Nest Pension Ltd,34602,
MEM0000037,EMP000027,1987737,03-07-2018,10907.35,18-01-2052,68.89,69.18,37,Female,03-08-2018,Nest Pension Ltd,32114,
MEM0000038,EMP000020,1538552,18-09-2014,24440.21,09-05-2033,101.13,94.39,57,Male,,Nest Pension Ltd,39523,
MEM0000039,EMP000044,8606962,19-06-2021,11658.35,19-05-2032,139.15,131.97,53,Male,,Nest Pension Ltd,46865,
MEM0000040,EMP000033,2191066,13-03-2024,1327.39,28-04-2031,67.7,79.79,59,Female,,Nest Pension Ltd,21359,
MEM0000041,EMP000049,5479144,17-12-2016,7043.33,24-02-2044,36.97,35.64,42,Male,,Nest Pension Ltd,20141,
MEM0000042,EMP000016,9517485,17-09-2023,1369.22,05-04-2069,45.75,45.53,25,Female,,Nest Pension Ltd,26505,
MEM0000043,EMP000037,2338687,12-08-2018,11655.35,11-12-2029,73.97,77.4,57,Male,,Nest Pension Ltd,19065,
MEM0000044,EMP000045,1419610,23-05-2012,27378.38,18-08-2027,86.63,92.31,59,Female,,Nest Pension Ltd,42103,
MEM0000045,EMP000045,9197443,02-06-2020,22797.69,25-07-2059,209.54,204.96,27,Male,,Nest Pension Ltd,47202,
MEM0000046,EMP000030,1987737,30-11-2021,3026.11,07-05-2036,37.57,44.22,58,Female,,Nest Pension Ltd,16537,
MEM0000047,EMP000029,7264956,28-04-2021,9573.4,13-07-2043,105.51,112.07,50,Female,,Nest Pension Ltd,38898,
MEM0000048,EMP000031,3653446,25-10-2015,48309.25,10-07-2044,234.46,200.76,44,Male,,Nest Pension Ltd,46727,
MEM0000049,EMP000016,6440561,13-11-2019,6781.86,02-03-2060,59.05,50.33,29,Male,,Nest Pension Ltd,24799,
MEM0000050,EMP000021,1971823,23-10-2011,20901.79,10-02-2043,60.11,70.53,41,Male,,Nest Pension Ltd,38483,
MEM0000051,EMP000010,4594297,19-10-2014,59980.81,04-05-2059,228.52,255.2,34,Male,,Nest Pension Ltd,62986,
MEM0000052,EMP000030,9877065,26-05-2011,34147.68,02-12-2046,99.86,107.1,46,Female,,Nest Pension Ltd,42107,
MEM0000053,EMP000038,5672073,10-06-2010,67547.87,25-01-2025,193.42,188.21,70,Female,,Nest Pension Ltd,49450,
MEM0000054,EMP000020,7897151,30-09-2018,18109.32,02-06-2035,113.55,124.73,52,Male,,Nest Pension Ltd,41191,
MEM0000055,EMP000028,9517169,26-08-2010,54648.8,28-07-2032,161.16,152.91,58,Female,,Nest Pension Ltd,33843,
MEM0000056,EMP000026,7829332,14-09-2013,36736.82,28-12-2030,136.14,132.01,60,Male,,Nest Pension Ltd,40117,
MEM0000057,EMP000026,8099076,29-08-2022,6468.86,15-07-2059,104.53,126.5,23,Male,,Nest Pension Ltd,44385,
MEM0000058,EMP000030,1768805,16-02-2011,16791.69,25-07-2042,54.38,45.57,49,Male,,Nest Pension Ltd,22142,
MEM0000059,EMP000021,3342608,03-07-2018,8591.6,01-11-2049,59.04,49.71,43,Female,,Nest Pension Ltd,31648,
MEM0000060,EMP000031,4744854,05-02-2022,15642.85,19-05-2065,244.19,202.75,25,Female,,Nest Pension Ltd,45710,
MEM0000061,EMP000050,4860684,26-11-2010,34345.52,26-02-2052,96.75,104.1,35,Female,,Nest Pension Ltd,22298,
MEM0000062,EMP000040,3094235,09-05-2015,10119.99,05-04-2058,47.02,39.48,37,Male,,Nest Pension Ltd,12277,
MEM0000063,EMP000014,9398441,01-10-2015,18101.06,02-08-2033,88.73,72.89,52,Female,,Nest Pension Ltd,21742,
MEM0000064,EMP000048,5076817,27-07-2012,38242.05,12-09-2046,136.19,117.07,42,Female,,Nest Pension Ltd,37305,
MEM0000065,EMP000020,8973915,02-06-2018,23490.47,06-07-2034,140.75,152.88,51,Female,,Nest Pension Ltd,51245,
MEM0000066,EMP000041,3871230,14-04-2012,68337.94,24-01-2032,238.17,205.58,51,Female,,Nest Pension Ltd,50807,
MEM0000067,EMP000023,6159230,11-08-2019,24036.85,23-04-2034,190.44,179.36,48,Female,,Nest Pension Ltd,42725,
MEM0000068,EMP000001,5218028,29-12-2020,38475.71,22-06-2063,432.05,369.53,30,Female,,Nest Pension Ltd,92790,
MEM0000069,EMP000030,3219824,07-06-2013,23556.68,26-02-2027,76.32,91.94,58,Female,,Nest Pension Ltd,23407,
MEM0000070,EMP000018,8350099,26-01-2022,7650.54,01-09-2041,104.63,113.96,52,Female,,Nest Pension Ltd,31447,
MEM0000071,EMP000038,5528972,25-03-2017,10971.78,09-08-2039,58.62,58.1,42,Female,,Nest Pension Ltd,27921,
MEM0000072,EMP000016,7897151,03-06-2020,13473.52,08-05-2035,125.5,119.47,60,Male,,Nest Pension Ltd,51334,
MEM0000073,EMP000002,3564217,16-04-2017,23022.45,23-07-2056,127.18,120.37,38,Male,,Nest Pension Ltd,35683,
MEM0000074,EMP000017,5137722,09-04-2016,26308.05,16-01-2026,124.5,123.69,66,Male,,Nest Pension Ltd,25225,
MEM0000075,EMP000013,1109031,01-06-2015,18206.46,05-03-2040,71.86,85.09,55,Female,,Nest Pension Ltd,25073,
MEM0000076,EMP000045,9517485,27-06-2024,2795.76,02-07-2036,248.64,217.32,51,Male,,Nest Pension Ltd,47786,
MEM0000077,EMP000015,7455324,17-06-2015,8627.42,07-02-2043,35.33,39.04,48,Female,,Nest Pension Ltd,16995,
MEM0000078,EMP000023,1192619,06-05-2022,7768.75,23-04-2048,125.28,117.49,43,Male,,Nest Pension Ltd,29982,
MEM0000079,EMP000020,5107245,04-03-2015,48757.24,03-08-2049,194.53,215.19,36,Male,,Nest Pension Ltd,66832,
MEM0000080,EMP000035,2651177,25-02-2014,55883.18,23-10-2043,191.12,232.24,42,Male,,Nest Pension Ltd,50486,
MEM0000081,EMP000038,1908841,07-10-2021,10551.1,25-11-2030,124.39,146.15,61,Female,,Nest Pension Ltd,41657,
MEM0000082,EMP000019,6960453,04-02-2018,25414.08,03-02-2051,141.39,161.16,37,Female,,Nest Pension Ltd,46619,
MEM0000083,EMP000009,6440561,08-01-2011,76525.14,20-12-2052,204.61,245.54,36,Female,,Nest Pension Ltd,59486,
MEM0000084,EMP000041,7897151,04-01-2021,4880.65,17-10-2050,50.87,50.81,29,Male,,Nest Pension Ltd,13547,
MEM0000085,EMP000031,2871534,23-08-2017,6864.52,24-12-2042,39.66,37.47,38,Female,,Nest Pension Ltd,20277,
MEM0000086,EMP000031,2714803,20-06-2011,49776.9,20-07-2036,165.12,138.4,58,Female,,Nest Pension Ltd,41931,
MEM0000087,EMP000044,4903402,27-05-2013,52955.55,30-06-2048,189.5,186.07,40,Female,,Nest Pension Ltd,58790,
MEM0000088,EMP000008,9153566,03-05-2019,6600.73,23-01-2028,53.01,44.06,63,Male,,Nest Pension Ltd,16432,
MEM0000089,EMP000029,5491946,15-03-2023,3135.8,26-12-2040,71.96,77.36,48,Female,,Nest Pension Ltd,39214,
MEM0000090,EMP000040,8231838,23-03-2012,13874.19,29-07-2040,47.57,41.94,45,Female,,Nest Pension Ltd,25659,
MEM0000091,EMP000011,2197935,24-11-2013,41002.64,11-01-2025,163.33,140.39,66,Male,,Nest Pension Ltd,40355,
MEM0000092,EMP000045,4553384,16-07-2020,11546.44,07-11-2038,102.25,111.57,42,Male,,Nest Pension Ltd,24606,
MEM0000093,EMP000019,9143903,08-03-2020,26631.57,12-07-2058,225.57,233.6,28,Female,,Nest Pension Ltd,46209,
MEM0000094,EMP000041,9852897,30-10-2024,751.47,18-12-2060,181.89,193.84,32,Female,,Nest Pension Ltd,44155,
MEM0000095,EMP000042,9996414,17-12-2015,29109.77,09-01-2044,139.05,125.58,38,Male,,Nest Pension Ltd,31734,
MEM0000096,EMP000020,4553384,07-10-2022,12996.87,01-12-2053,240.94,240.43,40,Male,,Nest Pension Ltd,51481,
MEM0000097,EMP000020,9143903,11-01-2019,19304.5,14-08-2052,120.94,147.18,42,Male,,Nest Pension Ltd,45229,
MEM0000098,EMP000003,5476583,25-03-2017,11244.03,05-04-2026,57.65,61.97,65,Male,,Nest Pension Ltd,30345,
MEM0000099,EMP000044,8973915,03-03-2023,6051.47,12-12-2065,136.12,138.95,22,Male,,Nest Pension Ltd,36454,
MEM0000100,EMP000049,4226067,21-07-2020,13104.27,29-02-2036,125.52,117.15,57,Female,,Nest Pension Ltd,43927,
MEM0000101,EMP000012,5446912,11-10-2019,11015.13,24-11-2027,87.32,87.52,65,Male,,Nest Pension Ltd,44361,
MEM0000102,EMP000027,5443951,15-03-2017,29218.53,22-08-2051,153.6,157.24,33,Male,,Nest Pension Ltd,44425,
MEM0000103,EMP000032,1538552,10-11-2024,96.95,27-06-2036,51.01,45.94,45,Male,,Nest Pension Ltd,22617,
MEM0000104,EMP000017,7637601,07-08-2012,18141.28,01-10-2034,55.44,65.5,57,Female,,Nest Pension Ltd,30179,
MEM0000105,EMP000027,4903402,17-03-2014,14267.52,26-01-2025,59.76,49.15,63,Female,,Nest Pension Ltd,27934,
MEM0000106,EMP000041,5924115,27-02-2011,37522.59,27-11-2041,118.66,104.69,46,Male,,Nest Pension Ltd,38480,
MEM0000107,EMP000019,2871534,14-11-2020,10312.11,25-09-2049,104.33,101.91,31,Female,,Nest Pension Ltd,24223,
MEM0000108,EMP000016,3219824,21-07-2013,41439.84,25-04-2030,137.47,160.66,50,Male,,Nest Pension Ltd,31798,
MEM0000109,EMP000015,2714803,08-05-2020,7211.29,10-01-2053,59.48,69.29,31,Female,,Nest Pension Ltd,34722,
MEM0000110,EMP000019,1009594,18-02-2016,25142.35,10-10-2040,123.27,111.71,54,Male,,Nest Pension Ltd,30670,
MEM0000111,EMP000036,8707870,09-08-2018,13458.39,06-09-2045,93.83,80.95,38,Male,,Nest Pension Ltd,33368,
MEM0000112,EMP000027,5137722,22-05-2021,17208.23,09-10-2039,180.57,219.62,40,Female,,Nest Pension Ltd,41025,
MEM0000113,EMP000038,3770370,20-10-2024,293.49,31-12-2042,74.16,72.58,51,Male,,Nest Pension Ltd,38361,
MEM0000114,EMP000031,5408072,16-06-2017,21840.47,23-12-2030,123.11,116.9,62,Male,,Nest Pension Ltd,35188,
MEM0000115,EMP000021,5855124,11-05-2015,56917.46,04-09-2026,262.75,223.72,65,Female,,Nest Pension Ltd,67297,
MEM0000116,EMP000027,2571945,19-02-2017,11617.89,31-08-2034,66.66,55.63,57,Female,,Nest Pension Ltd,23489,
MEM0000117,EMP000042,9996414,09-02-2021,16526.13,15-10-2058,164.84,186.78,25,Female,,Nest Pension Ltd,67847,
MEM0000118,EMP000022,5661907,16-11-2019,8068.45,12-11-2062,66.16,63.98,31,Female,,Nest Pension Ltd,22875,
MEM0000119,EMP000027,4694634,18-06-2013,30317.56,20-10-2059,115.07,101.48,35,Male,,Nest Pension Ltd,40126,
MEM0000120,EMP000045,8082668,29-07-2024,1394.63,29-06-2065,150.93,128,25,Female,,Nest Pension Ltd,63142,
MEM0000121,EMP000025,9375710,22-01-2024,1596.59,21-10-2042,77.89,67.25,51,Male,,Nest Pension Ltd,15196,
MEM0000122,EMP000005,5479144,27-02-2024,2192.18,07-04-2048,106.9,112.32,38,Male,,Nest Pension Ltd,62471,
MEM0000123,EMP000007,1908841,19-03-2024,1058.34,02-06-2067,62.82,54.77,26,Female,,Nest Pension Ltd,12000,
MEM0000124,EMP000002,2571945,11-04-2017,33574.59,01-10-2058,175.55,181.63,30,Male,,Nest Pension Ltd,55308,
MEM0000125,EMP000010,3871230,30-11-2021,10980.01,22-02-2036,161.58,135.18,49,Male,,Nest Pension Ltd,35078,
MEM0000126,EMP000040,1790481,25-11-2023,2312.55,10-09-2059,88.06,89.83,36,Male,,Nest Pension Ltd,35704,
MEM0000127,EMP000030,2074176,12-09-2015,20202.12,15-08-2030,92.46,86.32,58,Male,,Nest Pension Ltd,36804,
MEM0000128,EMP000030,1538552,05-04-2022,8064.6,10-11-2049,112.75,131.63,32,Female,,Nest Pension Ltd,42716,
MEM0000129,EMP000038,5491946,01-05-2024,3170.23,16-12-2040,212.1,184.18,47,Female,,Nest Pension Ltd,58267,
MEM0000130,EMP000013,2839607,02-11-2020,12991.19,07-05-2057,139.7,120.12,30,Female,,Nest Pension Ltd,36735,
MEM0000131,EMP000037,7730428,15-08-2016,36582.83,22-12-2062,169.03,189.63,29,Male,,Nest Pension Ltd,44680,
MEM0000132,EMP000044,2833230,06-02-2011,32191.29,13-09-2033,92.39,98.09,71,Female,,Nest Pension Ltd,55529,
MEM0000133,EMP000039,7700828,30-11-2014,19701.49,24-10-2027,78.29,83.2,70,Female,,Nest Pension Ltd,17251,
MEM0000134,EMP000047,2016911,14-10-2024,205.38,24-08-2055,50.28,52.41,28,Female,,Nest Pension Ltd,12000,
MEM0000135,EMP000020,2871534,01-10-2010,13274.44,05-01-2026,42.05,34.68,71,Female,,Nest Pension Ltd,12000,
MEM0000136,EMP000021,8106470,27-04-2019,13024.96,25-06-2049,96.9,91.87,36,Female,,Nest Pension Ltd,34166,
MEM0000137,EMP000024,7089806,03-04-2021,8284.43,06-08-2044,89.21,94.89,40,Female,,Nest Pension Ltd,40498,
MEM0000138,EMP000031,7730428,06-08-2017,12214.06,03-09-2059,70.13,65.58,34,Male,,Nest Pension Ltd,20901,
MEM0000139,EMP000015,1527021,30-11-2018,9033.14,12-01-2029,56.01,66.06,61,Female,,Nest Pension Ltd,27046,
MEM0000140,EMP000001,7366205,13-01-2022,5327.94,09-07-2064,69.65,78.35,29,Female,,Nest Pension Ltd,23106,
MEM0000141,EMP000044,7366205,10-02-2023,5331.32,31-03-2045,122.84,108.96,45,Female,,Nest Pension Ltd,64470,
MEM0000142,EMP000031,2719583,24-11-2023,1791.29,29-09-2034,74.04,63.75,56,Male,,Nest Pension Ltd,35528,
MEM0000143,EMP000005,4769795,31-05-2020,15955.9,22-07-2049,152.26,137.85,43,Male,,Nest Pension Ltd,33315,
MEM0000144,EMP000003,2110460,18-01-2021,7192.23,10-05-2052,72.98,76.86,30,Female,,Nest Pension Ltd,31685,
MEM0000145,EMP000009,3564251,05-03-2020,4567.39,24-12-2045,41.32,37.43,47,Female,,Nest Pension Ltd,12272,
MEM0000146,EMP000010,9877065,09-09-2024,835.25,10-07-2069,145.15,133.27,26,Male,,Nest Pension Ltd,55503,
MEM0000147,EMP000018,8078673,24-04-2018,26617.7,28-11-2054,162.58,166.03,39,Female,,Nest Pension Ltd,81183,
MEM0000148,EMP000024,5661907,29-03-2018,21021.94,24-09-2033,122.27,134.1,60,Male,,Nest Pension Ltd,51793,
MEM0000149,EMP000018,5855124,27-09-2012,15576.06,19-05-2027,56.35,48.19,61,Female,,Nest Pension Ltd,25301,
MEM0000150,EMP000039,3341057,19-02-2011,24795.48,18-04-2032,78.06,69.53,54,Female,,Nest Pension Ltd,18776,
MEM0000151,EMP000014,8038374,07-06-2022,8122.04,27-09-2050,137.43,124.57,35,Male,,Nest Pension Ltd,36160,
MEM0000152,EMP000010,4553384,24-01-2010,16720.75,25-03-2032,44.19,48.19,51,Female,,Nest Pension Ltd,22080,
MEM0000153,EMP000012,6647119,29-10-2024,558.08,27-10-2062,153.1,125.94,21,Male,,Nest Pension Ltd,48892,
MEM0000154,EMP000016,9852897,06-04-2017,29401.85,09-08-2056,143.94,168.85,28,Male,,Nest Pension Ltd,63641,
MEM0000155,EMP000048,5218028,19-10-2021,4390,11-06-2052,55.28,60.25,30,Male,,Nest Pension Ltd,25240,
MEM0000156,EMP000024,6438436,26-04-2023,5157.42,28-12-2066,118.11,139.76,27,Male,,Nest Pension Ltd,27693,
MEM0000157,EMP000040,2571945,11-10-2024,318.72,31-05-2034,78.05,81.31,53,Female,,Nest Pension Ltd,39056,
MEM0000158,EMP000002,1445199,28-09-2020,15899.47,08-09-2044,165.76,145.99,49,Male,,Nest Pension Ltd,34246,
MEM0000159,EMP000046,5924115,26-08-2011,65628.43,22-06-2052,204.86,200.25,38,Male,,Nest Pension Ltd,42513,
MEM0000160,EMP000009,6440561,02-01-2024,1268.93,06-10-2033,55.72,50.02,60,Female,,Nest Pension Ltd,20336,
MEM0000161,EMP000025,4553384,25-11-2021,5853.46,02-08-2053,75.03,83.17,41,Female,,Nest Pension Ltd,23551,
MEM0000162,EMP000007,9143903,26-07-2012,13416.29,24-01-2030,42.55,46.3,67,Female,,Nest Pension Ltd,12000,
MEM0000163,EMP000027,3342608,04-03-2020,13578.3,16-04-2043,106.56,127.55,49,Male,,Nest Pension Ltd,34008,
MEM0000164,EMP000021,1987737,20-09-2015,8045.4,01-09-2032,32.49,38.71,52,Female,20-07-2016,Nest Pension Ltd,16834,
MEM0000165,EMP000006,1109031,03-02-2012,39567.11,08-02-2034,130.58,121.44,59,Male,,Nest Pension Ltd,50094,
MEM0000166,EMP000004,9852897,06-08-2022,5580.7,12-07-2033,95.67,96.77,57,Male,,Nest Pension Ltd,26346,
MEM0000167,EMP000023,1987737,27-06-2019,25946.65,19-04-2061,211.64,175.62,28,Male,,Nest Pension Ltd,43656,
MEM0000168,EMP000007,8973915,19-05-2021,11537.13,13-04-2048,142.6,119.61,36,Male,,Nest Pension Ltd,31954,
MEM0000169,EMP000007,8187926,23-06-2022,7800.25,08-11-2037,138.89,121.12,45,Female,,Nest Pension Ltd,36298,
MEM0000170,EMP000028,2161193,12-12-2023,3384.69,03-11-2034,132.61,149.45,60,Female,,Nest Pension Ltd,32664,
MEM0000171,EMP000039,1120642,31-12-2015,34643.99,09-05-2055,159.65,158.18,30,Female,,Nest Pension Ltd,40916,
MEM0000172,EMP000020,3342608,15-11-2017,22649.53,17-01-2058,128.85,134.52,27,Female,,Nest Pension Ltd,28685,
MEM0000173,EMP000026,8038374,08-03-2013,11013.06,15-05-2033,36.98,40.03,71,Female,,Nest Pension Ltd,12000,
MEM0000174,EMP000025,5218028,05-03-2020,7707.07,06-09-2039,62.88,70,45,Male,,Nest Pension Ltd,19878,
MEM0000175,EMP000021,6692553,24-09-2022,12010.4,18-10-2028,227.94,216.89,60,Male,,Nest Pension Ltd,47441,
MEM0000176,EMP000049,9683481,12-02-2011,19466.53,16-09-2049,59.06,56.13,38,Female,,Nest Pension Ltd,12000,
MEM0000177,EMP000032,7693979,01-12-2019,18254.92,16-03-2037,150.63,148.63,51,Female,,Nest Pension Ltd,40077,
MEM0000178,EMP000008,5408072,23-08-2019,16064.94,26-07-2057,114.97,132.18,32,Female,,Nest Pension Ltd,28770,
MEM0000179,EMP000032,2876828,18-12-2024,168.79,05-04-2042,85.58,83.21,39,Male,,Nest Pension Ltd,47455,
MEM0000180,EMP000039,9478454,04-03-2010,36607.65,12-06-2041,98.48,104.9,47,Female,,Nest Pension Ltd,22158,
MEM0000181,EMP000049,3741438,29-06-2016,27571.44,28-06-2034,124.47,143.21,48,Male,,Nest Pension Ltd,30951,
MEM0000182,EMP000028,4226067,24-11-2012,24337.05,03-08-2031,86.42,79.14,56,Female,,Nest Pension Ltd,20318,
MEM0000183,EMP000043,7700828,14-08-2011,33452.86,18-03-2025,100.06,106.44,58,Male,,Nest Pension Ltd,41201,
MEM0000184,EMP000005,4567281,30-11-2022,14824.18,23-11-2043,301.43,291.54,49,Female,,Nest Pension Ltd,63151,
MEM0000185,EMP000019,2714803,01-02-2019,14054.37,18-04-2063,99.28,95.92,26,Female,,Nest Pension Ltd,44815,
MEM0000186,EMP000040,1054447,12-02-2018,21012.25,27-03-2061,114.38,138.78,31,Male,,Nest Pension Ltd,34166,
MEM0000187,EMP000038,2065818,02-10-2021,11399.77,27-02-2064,158.5,133.8,28,Female,,Nest Pension Ltd,36640,
MEM0000188,EMP000015,5443951,09-10-2013,27147.78,28-06-2048,101.33,98.29,35,Male,,Nest Pension Ltd,45886,
MEM0000189,EMP000050,8187926,16-11-2017,48435.15,30-12-2050,305.57,257.63,36,Male,,Nest Pension Ltd,58897,
MEM0000190,EMP000013,4226067,06-07-2023,2011.25,27-09-2051,61.29,50.45,30,Female,,Nest Pension Ltd,27331,
MEM0000191,EMP000041,3564217,28-05-2020,14338.81,09-01-2035,127.72,132.99,60,Female,,Nest Pension Ltd,35835,
MEM0000192,EMP000037,6672134,01-04-2024,2576.35,15-02-2032,151.8,134.46,59,Male,,Nest Pension Ltd,51412,
MEM0000193,EMP000029,8038374,08-07-2020,7401.28,21-11-2036,74.28,62.78,52,Female,,Nest Pension Ltd,19818,
MEM0000194,EMP000023,9897858,31-08-2011,10976.51,11-04-2042,35.49,32.27,52,Male,,Nest Pension Ltd,12000,
MEM0000195,EMP000024,1538552,21-09-2011,21396.36,04-05-2054,62.15,70.75,38,Female,,Nest Pension Ltd,31106,
MEM0000196,EMP000048,1499914,02-02-2020,4500.7,13-07-2028,41.31,34.97,60,Female,,Nest Pension Ltd,12452,
MEM0000197,EMP000033,9996414,22-05-2011,35407.31,04-01-2033,110.8,103.79,61,Male,,Nest Pension Ltd,62734,
MEM0000198,EMP000042,4226067,17-11-2010,86442.36,20-06-2045,234.99,270.52,49,Female,,Nest Pension Ltd,51898,
MEM0000199,EMP000040,7350753,01-03-2018,23094.38,10-09-2039,146.08,132.17,49,Male,,Nest Pension Ltd,73600,
MEM0000200,EMP000022,1527021,30-05-2023,6355.29,21-06-2065,157.38,177.11,24,Male,,Nest Pension Ltd,35888,
MEM0000201,EMP000036,1527021,02-09-2018,18862.71,28-07-2044,111.85,133.12,44,Female,,Nest Pension Ltd,34508,
MEM0000202,EMP000039,9996414,23-06-2017,15526.97,11-12-2051,85.73,84.9,32,Male,,Nest Pension Ltd,26848,
MEM0000203,EMP000042,5672073,07-11-2024,234.54,04-09-2039,109.81,124.73,45,Female,,Nest Pension Ltd,53691,
MEM0000204,EMP000006,6279418,15-07-2022,3470.68,13-09-2043,56.38,59.31,46,Female,,Nest Pension Ltd,12000,
MEM0000205,EMP000048,2188789,22-10-2021,2441.15,28-06-2065,29.91,34.33,28,Male,,Nest Pension Ltd,18341,
MEM0000206,EMP000024,6279418,16-01-2014,62974.17,13-09-2046,214.35,259.14,43,Male,,Nest Pension Ltd,61284,
MEM0000207,EMP000009,3094235,25-09-2011,25562.22,05-06-2032,73.1,85.67,51,Female,,Nest Pension Ltd,45825,
MEM0000208,EMP000048,2876828,06-11-2010,14054.96,02-09-2029,42.11,39.6,55,Male,,Nest Pension Ltd,18064,
MEM0000209,EMP000011,1768805,05-01-2024,3069.85,17-01-2063,137.01,118.81,30,Male,,Nest Pension Ltd,31395,
MEM0000210,EMP000044,8935169,30-04-2015,20558.12,11-12-2031,90.81,84.9,57,Male,,Nest Pension Ltd,29377,
MEM0000211,EMP000016,6279418,09-07-2020,8106.74,13-06-2055,68.84,81.28,36,Female,,Nest Pension Ltd,43896,
MEM0000212,EMP000029,5418934,27-04-2016,11188.39,12-07-2040,49.88,56.68,52,Female,,Nest Pension Ltd,30356,
